"Id","google_id","XDIndicator"
367,"4e2pnKYAAAAJ","XD"
368,"4EHmg_4AAAAJ","XD"
369,"4EL8ZOUAAAAJ","XD"
370,"4EQ2zFYAAAAJ","XD"
371,"4esyQS4AAAAJ","XD"
372,"4ew4MwwAAAAJ","XD"
373,"4FcaMpgAAAAJ","XD"
374,"4glkLD0AAAAJ","XD"
375,"4GTpCxcAAAAJ","XD"
376,"4HrSWNcAAAAJ","XD"
377,"4JMQMLgAAAAJ","BIO"
378,"4LCdnkYAAAAJ","XD"
379,"4Mj-BjwAAAAJ","XD"
380,"4n8JCSgAAAAJ","XD"
381,"4O-rMYEAAAAJ","XD"
382,"4OOz4DcAAAAJ","XD"
383,"4OvOdSgAAAAJ","XD"
384,"4pkd0FsAAAAJ","BIO"
385,"4pWpdEIAAAAJ","XD"
386,"4PYV1OEAAAAJ","XD"
387,"4q6YakgAAAAJ","XD"
388,"4R7_wW8AAAAJ","XD"
389,"4SYHiigAAAAJ","XD"
390,"4tJhnt8AAAAJ","XD"
391,"4Tnj6PcAAAAJ","XD"
392,"4Ts9jNQAAAAJ","XD"
393,"4TuZa4wAAAAJ","XD"
394,"4U1F6tcAAAAJ","BIO"
395,"4uiMIaEAAAAJ","XD"
396,"4UyniXYAAAAJ","XD"
397,"4uypulQAAAAJ","XD"
398,"4veQB4cAAAAJ","XD"
399,"4VJre9IAAAAJ","XD"
400,"4wXYfSUAAAAJ","CS"
401,"4XyoYbAAAAAJ","XD"
402,"4Y2pXqoAAAAJ","BIO"
403,"4yuKD_AAAAAJ","XD"
404,"4_1z8yEAAAAJ","XD"
405,"5--K4tgAAAAJ","XD"
406,"50kDLlkAAAAJ","XD"
407,"53RlhUcAAAAJ","XD"
408,"54w2_AcAAAAJ","XD"
409,"55B-xqUAAAAJ","XD"
410,"55fqxgwAAAAJ","XD"
411,"55pOyCkAAAAJ","XD"
412,"55VV_usAAAAJ","XD"
413,"568MtVQAAAAJ","XD"
414,"56oq6hYAAAAJ","BIO"
415,"56qcx4MAAAAJ","XD"
416,"59zyQMYAAAAJ","XD"
417,"5Aut7EEAAAAJ","XD"
418,"5bxyMBwAAAAJ","XD"
419,"5C4hZEgAAAAJ","XD"
420,"5cDLwU0AAAAJ","BIO"
421,"5CH2x_YAAAAJ","XD"
422,"5cJzDZEAAAAJ","XD"
423,"5CoasaYAAAAJ","XD"
424,"5ctD7qIAAAAJ","BIO"
425,"5dNYKKcAAAAJ","XD"
426,"5drv17QAAAAJ","XD"
427,"5DUnLc8AAAAJ","BIO"
428,"5EqKofQAAAAJ","XD"
429,"5ExRjncAAAAJ","XD"
430,"5FZewx8AAAAJ","BIO"
431,"5GQF2FwAAAAJ","XD"
432,"5GxH-mYAAAAJ","BIO"
433,"5H0arvkAAAAJ","XD"
434,"5HInsKgAAAAJ","XD"
435,"5HLGWrIAAAAJ","CS"
436,"5I3hyEgAAAAJ","XD"
437,"5i9FResAAAAJ","XD"
438,"5iXE9k0AAAAJ","XD"
439,"5kL-ZrAAAAAJ","XD"
440,"5lBWbGkAAAAJ","BIO"
441,"5LsAK74AAAAJ","XD"
442,"5LXPLI0AAAAJ","BIO"
443,"5m-oAesAAAAJ","XD"
444,"5mIkNyYAAAAJ","XD"
445,"5NAFTkAAAAAJ","XD"
446,"5nhJokEAAAAJ","BIO"
447,"5nkhrpUAAAAJ","XD"
448,"5OSMezYAAAAJ","XD"
449,"5oU0wxcAAAAJ","XD"
450,"5ouAiisAAAAJ","XD"
451,"5P7Vo2IAAAAJ","XD"
452,"5PboKNAAAAAJ","XD"
453,"5pKTRxEAAAAJ","XD"
454,"5pV6DQ4AAAAJ","XD"
455,"5qSIhVkAAAAJ","XD"
456,"5qwfn20AAAAJ","XD"
457,"5t2myD8AAAAJ","XD"
458,"5tcfuXMAAAAJ","XD"
459,"5tk1PV8AAAAJ","XD"
460,"5TzQdR4AAAAJ","CS"
461,"5w-u8x8AAAAJ","CS"
462,"5wcrtr4AAAAJ","XD"
463,"5wgTi1AAAAAJ","XD"
464,"5whzpxEAAAAJ","XD"
465,"5wppdUoAAAAJ","XD"
466,"5xRaC-AAAAAJ","XD"
467,"5X_j0lwAAAAJ","XD"
468,"5ZTO0uMAAAAJ","XD"
469,"60ZCtZMAAAAJ","XD"
470,"628Jn7UAAAAJ","XD"
471,"62GM5XcAAAAJ","XD"
472,"64iWYEMAAAAJ","BIO"
473,"65eUCyIAAAAJ","XD"
474,"65swYMkAAAAJ","XD"
475,"67aYFTQAAAAJ","XD"
476,"67kghxAAAAAJ","XD"
477,"67R6MqcAAAAJ","BIO"
478,"6afbS1EAAAAJ","BIO"
479,"6ArMETUAAAAJ","XD"
480,"6c5cf1wAAAAJ","XD"
481,"6CTPn44AAAAJ","XD"
482,"6DkAchgAAAAJ","BIO"
483,"6EapkWgAAAAJ","XD"
484,"6enh82kAAAAJ","XD"
485,"6Ff2c8wAAAAJ","XD"
486,"6H0mhLUAAAAJ","XD"
487,"6HE56R8AAAAJ","CS"
488,"6hPAjdYAAAAJ","XD"
489,"6IHX8J4AAAAJ","XD"
490,"6II-xhMAAAAJ","XD"
491,"6IinLVUAAAAJ","CS"
492,"6IxWYR0AAAAJ","XD"
493,"6JEDxqcAAAAJ","XD"
494,"6KUiLfAAAAAJ","XD"
495,"6Kuq1acAAAAJ","XD"
496,"6laH_QsAAAAJ","BIO"
497,"6o13_-QAAAAJ","BIO"
498,"6P4bGWAAAAAJ","XD"
499,"6pG19JoAAAAJ","XD"
500,"6qE0tdAAAAAJ","XD"
501,"6QM1ANkAAAAJ","XD"
502,"6RqRAWcAAAAJ","BIO"
503,"6S-WgLkAAAAJ","CS"
504,"6s2hs3oAAAAJ","XD"
505,"6t7Zm4oAAAAJ","XD"
506,"6UBlenoAAAAJ","BIO"
507,"6Ue8tWQAAAAJ","BIO"
508,"6UTCD84AAAAJ","XD"
509,"6VNQ_IkAAAAJ","XD"
510,"6vXTtDQAAAAJ","XD"
511,"6y4Vgs0AAAAJ","BIO"
512,"6Yne-voAAAAJ","XD"
513,"6YU6_QoAAAAJ","XD"
514,"6Z88TncAAAAJ","BIO"
515,"6_cxCKQAAAAJ","XD"
516,"6_oL_9IAAAAJ","XD"
517,"6_wqtu4AAAAJ","XD"
518,"70BD9O8AAAAJ","BIO"
519,"70fkMMgAAAAJ","XD"
520,"71OktocAAAAJ","XD"
521,"71RQt3sAAAAJ","XD"
522,"72e5VYEAAAAJ","XD"
523,"76nnaMsAAAAJ","XD"
524,"77kOUvYAAAAJ","XD"
525,"79kYqosAAAAJ","XD"
526,"7anf7aEAAAAJ","XD"
527,"7AUq6CUAAAAJ","XD"
528,"7BM1uyYAAAAJ","XD"
529,"7btxQB0AAAAJ","CS"
530,"7BVA7tsAAAAJ","XD"
531,"7BYgbUEAAAAJ","BIO"
532,"7b_ipvgAAAAJ","XD"
533,"7cys8kgAAAAJ","XD"
534,"7e3e1HUAAAAJ","BIO"
535,"7EBqXaIAAAAJ","XD"
536,"7eC3KMkAAAAJ","XD"
537,"7egtxu0AAAAJ","XD"
538,"7FXtL98AAAAJ","XD"
539,"7g-uOHkAAAAJ","XD"
540,"7gEOGwcAAAAJ","XD"
541,"7iQEFwIAAAAJ","BIO"
542,"7iUPeUQAAAAJ","XD"
543,"7iV1PPYAAAAJ","BIO"
544,"7iy44V4AAAAJ","BIO"
545,"7j3itaMAAAAJ","XD"
546,"7jNkTbYAAAAJ","XD"
547,"7K34d7cAAAAJ","XD"
548,"7kDEN7kAAAAJ","XD"
549,"7KqndP4AAAAJ","BIO"
550,"7lVfIWYAAAAJ","XD"
551,"7MfZxCEAAAAJ","XD"
552,"7MOW-j4AAAAJ","XD"
553,"7nERaWEAAAAJ","XD"
554,"7NhhkR8AAAAJ","XD"
555,"7oJoP0IAAAAJ","XD"
556,"7OvZhQIAAAAJ","XD"
557,"7P3t1woAAAAJ","XD"
558,"7p61OCsAAAAJ","BIO"
559,"7PeekG0AAAAJ","XD"
560,"7QF1eF4AAAAJ","XD"
561,"7QmEsOwAAAAJ","XD"
562,"7QTGa98AAAAJ","XD"
563,"7Sa6XgEAAAAJ","XD"
564,"7SdcAiEAAAAJ","XD"
565,"7t7dPnwAAAAJ","BIO"
566,"7VeXVsYAAAAJ","XD"
567,"7vK1GRIAAAAJ","XD"
568,"7X0YfAcAAAAJ","XD"
569,"7xgWQEgAAAAJ","BIO"
570,"7XjL07wAAAAJ","XD"
571,"7yeTclAAAAAJ","BIO"
572,"7zf7xGkAAAAJ","XD"
573,"8-GYxFAAAAAJ","XD"
574,"80ILneUAAAAJ","XD"
575,"81cvn3sAAAAJ","XD"
576,"83SAwBsAAAAJ","XD"
577,"84WzBlYAAAAJ","XD"
578,"85KkItgAAAAJ","XD"
579,"85qG4oIAAAAJ","BIO"
580,"861FJYUAAAAJ","BIO"
581,"89vejUwAAAAJ","XD"
582,"8ablIzIAAAAJ","XD"
583,"8acGhSYAAAAJ","XD"
584,"8AkiZd8AAAAJ","XD"
585,"8ArX12gAAAAJ","XD"
586,"8BlBaP0AAAAJ","BIO"
587,"8CRLlesAAAAJ","XD"
588,"8cxDHS4AAAAJ","XD"
589,"8DufNdkAAAAJ","BIO"
590,"8enm19QAAAAJ","XD"
591,"8ExiKC0AAAAJ","XD"
592,"8f8IZigAAAAJ","XD"
593,"8Fa66PQAAAAJ","BIO"
594,"8fHNKl4AAAAJ","XD"
595,"8fPm1GcAAAAJ","BIO"
596,"8fudeRAAAAAJ","CS"
597,"8fztli4AAAAJ","XD"
598,"8GA4R2wAAAAJ","XD"
599,"8gIklOMAAAAJ","XD"
600,"8I3rAqsAAAAJ","XD"
601,"8iofTEAAAAAJ","XD"
602,"8iQk0DIAAAAJ","XD"
603,"8ISuY00AAAAJ","BIO"
604,"8kA3eDwAAAAJ","XD"
605,"8lkdGgsAAAAJ","XD"
606,"8Lp0W54AAAAJ","XD"
607,"8mHLyRoAAAAJ","XD"
608,"8mi-oYYAAAAJ","XD"
609,"8Mv9l1oAAAAJ","XD"
610,"8N6uFIkAAAAJ","CS"
611,"8nk9k5oAAAAJ","XD"
612,"8odG5jkAAAAJ","XD"
613,"8OOBH04AAAAJ","XD"
614,"8OYE6iEAAAAJ","XD"
615,"8QGbwSIAAAAJ","XD"
616,"8Qu_gAMAAAAJ","XD"
617,"8R35rCwAAAAJ","XD"
618,"8rhw83wAAAAJ","XD"
