"ID","google_id","dept","XDIndicator"
436,"5I3hyEgAAAAJ","BIO","XD"
437,"5i9FResAAAAJ","BIO","BIO"
438,"5iXE9k0AAAAJ","BIO","XD"
439,"5kL-ZrAAAAAJ","CS","CS"
440,"5lBWbGkAAAAJ","BIO","BIO"
441,"5LsAK74AAAAJ","BIO","BIO"
442,"5LXPLI0AAAAJ","BIO","BIO"
443,"5m-oAesAAAAJ","CS","CS"
444,"5mIkNyYAAAAJ","CS","XD"
445,"5NAFTkAAAAAJ","BIO","BIO"
446,"5nhJokEAAAAJ","BIO","BIO"
447,"5nkhrpUAAAAJ","BIO","BIO"
448,"5OSMezYAAAAJ","BIO","BIO"
449,"5oU0wxcAAAAJ","CS","CS"
450,"5ouAiisAAAAJ","CS","CS"
451,"5P7Vo2IAAAAJ","CS","XD"
452,"5PboKNAAAAAJ","CS","CS"
453,"5pKTRxEAAAAJ","CS","XD"
454,"5pV6DQ4AAAAJ","CS","XD"
455,"5qSIhVkAAAAJ","CS","XD"
456,"5qwfn20AAAAJ","CS","XD"
457,"5t2myD8AAAAJ","CS","CS"
458,"5tcfuXMAAAAJ","CS","CS"
459,"5tk1PV8AAAAJ","CS","CS"
460,"5TzQdR4AAAAJ","CS","CS"
461,"5w-u8x8AAAAJ","CS","CS"
462,"5wcrtr4AAAAJ","BIO","XD"
463,"5wgTi1AAAAAJ","CS","CS"
464,"5whzpxEAAAAJ","CS","XD"
465,"5wppdUoAAAAJ","CS","CS"
466,"5xRaC-AAAAAJ","CS","XD"
467,"5X_j0lwAAAAJ","BIO","XD"
468,"5ZTO0uMAAAAJ","CS","CS"
469,"60ZCtZMAAAAJ","BIO","XD"
470,"628Jn7UAAAAJ","CS","CS"
471,"62GM5XcAAAAJ","CS","CS"
472,"64iWYEMAAAAJ","BIO","XD"
473,"65eUCyIAAAAJ","BIO","BIO"
474,"65swYMkAAAAJ","CS","XD"
475,"67aYFTQAAAAJ","CS","XD"
476,"67kghxAAAAAJ","CS","CS"
477,"67R6MqcAAAAJ","BIO","XD"
478,"6afbS1EAAAAJ","BIO","BIO"
479,"6ArMETUAAAAJ","BIO","XD"
480,"6c5cf1wAAAAJ","CS","CS"
481,"6CTPn44AAAAJ","CS","CS"
482,"6DkAchgAAAAJ","BIO","BIO"
483,"6EapkWgAAAAJ","BIO","XD"
484,"6enh82kAAAAJ","CS","CS"
485,"6Ff2c8wAAAAJ","CS","CS"
