"year","Source","s_dept","Target","t_dept"
1984,2915,"BIO",213,"BIO"
1984,2935,"BIO",1976,"BIO"
1984,3028,"CS",4171,"CS"
1984,3028,"CS",942,"CS"
1984,3056,"CS",1396,"CS"
1984,2596,"CS",3168,"CS"
1984,3273,"CS",3800,"CS"
1984,3273,"CS",3442,"CS"
1984,3800,"CS",3442,"CS"
1984,3310,"BIO",1402,"BIO"
1984,557,"BIO",3370,"BIO"
1984,3800,"CS",3442,"CS"
1984,3467,"CS",798,"CS"
1984,3467,"CS",798,"CS"
1984,3536,"CS",2546,"CS"
1984,3536,"CS",2546,"CS"
1984,3700,"BIO",2833,"BIO"
1984,1549,"BIO",3711,"BIO"
1984,1549,"BIO",3711,"BIO"
1984,1549,"BIO",3711,"BIO"
1984,1549,"BIO",3711,"BIO"
1984,3718,"CS",847,"CS"
1984,3718,"CS",847,"CS"
1984,3800,"CS",3442,"CS"
1984,3862,"BIO",3661,"BIO"
1984,3875,"CS",2879,"CS"
1984,4060,"BIO",3669,"BIO"
1984,4069,"CS",2640,"CS"
1984,4069,"CS",2640,"CS"
1984,1574,"CS",4116,"CS"
1984,1574,"CS",4116,"CS"
1984,452,"CS",4146,"CS"
1984,3028,"CS",4171,"CS"
1985,2363,"CS",34,"CS"
1985,1577,"CS",141,"CS"
1985,1577,"CS",141,"CS"
1985,179,"BIO",627,"BIO"
1985,3320,"CS",348,"CS"
1985,415,"CS",1870,"CS"
1985,415,"CS",1870,"CS"
1985,2119,"CS",498,"CS"
1985,2444,"BIO",533,"BIO"
1985,1856,"BIO",590,"BIO"
1985,2296,"BIO",702,"BIO"
1985,3853,"CS",765,"CS"
1985,3467,"CS",798,"CS"
1985,2486,"BIO",804,"BIO"
1985,2486,"BIO",1739,"BIO"
1985,804,"BIO",1739,"BIO"
1985,2486,"BIO",804,"BIO"
1985,2486,"BIO",804,"BIO"
1985,831,"CS",1338,"CS"
1985,847,"CS",2244,"CS"
1985,2434,"CS",847,"CS"
1985,3718,"CS",847,"CS"
1985,847,"CS",2244,"CS"
1985,3718,"CS",847,"CS"
1985,849,"CS",3410,"CS"
1985,849,"CS",3410,"CS"
1985,1060,"BIO",1234,"BIO"
1985,1098,"BIO",1960,"BIO"
1985,1255,"CS",3089,"CS"
1985,1283,"CS",2330,"CS"
1985,1335,"BIO",411,"BIO"
1985,831,"CS",1338,"CS"
1985,3570,"BIO",1402,"BIO"
1985,1526,"BIO",2639,"BIO"
1985,1549,"BIO",3711,"BIO"
1985,1596,"CS",1814,"CS"
1985,834,"CS",1694,"CS"
1985,834,"CS",1694,"CS"
1985,1721,"CS",2217,"CS"
1985,2486,"BIO",804,"BIO"
1985,2486,"BIO",1739,"BIO"
1985,804,"BIO",1739,"BIO"
1985,3262,"CS",1754,"CS"
1985,1844,"CS",2898,"CS"
1985,415,"CS",1870,"CS"
1985,415,"CS",1870,"CS"
1985,83,"BIO",1904,"BIO"
1985,83,"BIO",1904,"BIO"
1985,1098,"BIO",1960,"BIO"
1985,2119,"CS",498,"CS"
1985,1721,"CS",2217,"CS"
1985,847,"CS",2244,"CS"
1985,1283,"CS",2330,"CS"
1985,2363,"CS",34,"CS"
1985,2486,"BIO",2415,"BIO"
1985,2486,"BIO",804,"BIO"
1985,2486,"BIO",1739,"BIO"
1985,804,"BIO",1739,"BIO"
1985,2486,"BIO",2415,"BIO"
1985,2486,"BIO",804,"BIO"
1985,2486,"BIO",804,"BIO"
1985,3536,"CS",2546,"CS"
1985,3536,"CS",2546,"CS"
1985,3536,"CS",2546,"CS"
1985,2837,"BIO",2608,"BIO"
1985,4069,"CS",2640,"CS"
1985,2697,"BIO",2729,"BIO"
1985,3352,"CS",2699,"CS"
1985,2837,"BIO",2608,"BIO"
1985,3875,"CS",2879,"CS"
1985,3875,"CS",2879,"CS"
1985,3875,"CS",2879,"CS"
1985,1844,"CS",2898,"CS"
1985,4018,"BIO",2948,"CS"
1985,3042,"BIO",3593,"BIO"
1985,3042,"BIO",3593,"BIO"
1985,3042,"BIO",3593,"BIO"
1985,735,"CS",3073,"CS"
1985,3304,"CS",2170,"CS"
1985,3320,"CS",348,"CS"
1985,557,"BIO",3370,"BIO"
1985,557,"BIO",3370,"BIO"
1985,557,"BIO",3370,"BIO"
1985,849,"CS",3410,"CS"
1985,849,"CS",3410,"CS"
1985,3467,"CS",798,"CS"
1985,2596,"CS",3512,"CS"
1985,3536,"CS",2546,"CS"
1985,3536,"CS",2546,"CS"
1985,3536,"CS",2546,"CS"
1985,3570,"BIO",1402,"BIO"
1985,3042,"BIO",3593,"BIO"
1985,3042,"BIO",3593,"BIO"
1985,3042,"BIO",3593,"BIO"
1985,1549,"BIO",3711,"BIO"
1985,3718,"CS",847,"CS"
1985,3718,"CS",847,"CS"
