"FacultyI","FacultyJ","XDIndicator"
"eBqftc8AAAAJ","Cxwj5hEAAAAJ",1
"CZyWk8kAAAAJ","GUAoEcAAAAAJ",1
"3_WYcR4AAAAJ","CZyWk8kAAAAJ",1
"3_WYcR4AAAAJ","CZyWk8kAAAAJ",1
"3_WYcR4AAAAJ","GUAoEcAAAAAJ",1
"CZyWk8kAAAAJ","GUAoEcAAAAAJ",1
"Vbv-JEwAAAAJ","D0lL1r0AAAAJ",1
"D6ptFeMAAAAJ","qAKfQW0AAAAJ",1
"MwLqCs4AAAAJ","D6ptFeMAAAAJ",1
"d7Gx1QYAAAAJ","7PeekG0AAAAJ",2
"I5zd7t0AAAAJ","d9Y04UwAAAAJ",1
"07ds-DAAAAAJ","Da-s1FQAAAAJ",1
"DQaARsgAAAAJ","DbZWZr8AAAAJ",1
"X08l_4IAAAAJ","DI8bU-0AAAAJ",1
"DknsgF8AAAAJ","nfkH5V4AAAAJ",1
"DknsgF8AAAAJ","nfkH5V4AAAAJ",1
"DknsgF8AAAAJ","nfkH5V4AAAAJ",1
"wkC9xHMAAAAJ","Dn_qYK8AAAAJ",1
"qr8Vo9IAAAAJ","Dn_qYK8AAAAJ",1
"S6-gFiMAAAAJ","DP_EJ4gAAAAJ",0
"DQaARsgAAAAJ","Lu7biGYAAAAJ",1
"DQaARsgAAAAJ","DbZWZr8AAAAJ",1
"DQaARsgAAAAJ","CK_GLC8AAAAJ",1
"FsBCAfgAAAAJ","DQaARsgAAAAJ",1
"taqkLgoAAAAJ","dShqnssAAAAJ",1
"taqkLgoAAAAJ","dShqnssAAAAJ",1
"dWVyVm4AAAAJ","A4ZY-yQAAAAJ",0
"Fz-5bdcAAAAJ","dWVyVm4AAAAJ",0
"dywFuRMAAAAJ","nFdbcvsAAAAJ",1
"op3lNakAAAAJ","DzHPx8IAAAAJ",0
"E1cp_aYAAAAJ","e-c3R8QAAAAJ",1
"E1cp_aYAAAAJ","e-c3R8QAAAAJ",1
"7X0YfAcAAAAJ","E0GO0JkAAAAJ",2
"E1cp_aYAAAAJ","e-c3R8QAAAAJ",1
"E1cp_aYAAAAJ","e-c3R8QAAAAJ",1
"e1MZuKIAAAAJ","oq8WAwsAAAAJ",1
"e1MZuKIAAAAJ","0zZnyMEAAAAJ",1
"oq8WAwsAAAAJ","0zZnyMEAAAAJ",1
"UWZA0v4AAAAJ","e1MZuKIAAAAJ",1
"UWZA0v4AAAAJ","e1MZuKIAAAAJ",1
"e1MZuKIAAAAJ","J1tqbNAAAAAJ",1
"e1MZuKIAAAAJ","0zZnyMEAAAAJ",1
"bf7u8fUAAAAJ","E2RYCMQAAAAJ",0
"Wj4ZBFIAAAAJ","93yNuV0AAAAJ",1
"Wj4ZBFIAAAAJ","e4I7ihkAAAAJ",1
"93yNuV0AAAAJ","e4I7ihkAAAAJ",1
"Wj4ZBFIAAAAJ","93yNuV0AAAAJ",1
"Wj4ZBFIAAAAJ","e4I7ihkAAAAJ",1
"Wj4ZBFIAAAAJ","MYqlcPgAAAAJ",1
"93yNuV0AAAAJ","e4I7ihkAAAAJ",1
"93yNuV0AAAAJ","MYqlcPgAAAAJ",1
"e4I7ihkAAAAJ","MYqlcPgAAAAJ",1
"r6j_SIcAAAAJ","e4JfTgsAAAAJ",0
"a7VNhCIAAAAJ","e8e5qGcAAAAJ",1
"e9OxXgwAAAAJ","UedS9LQAAAAJ",1
"e9OxXgwAAAAJ","UedS9LQAAAAJ",1
"e9p7q6MAAAAJ","IPbxgZkAAAAJ",0
"EBnjjY8AAAAJ","Jc7sf8YAAAAJ",0
"KP-Vo44AAAAJ","eBqftc8AAAAJ",1
"KP-Vo44AAAAJ","Cxwj5hEAAAAJ",1
"eBqftc8AAAAJ","Cxwj5hEAAAAJ",1
"EDC2EP0AAAAJ","628Jn7UAAAAJ",1
"EDC2EP0AAAAJ","tI8OPH0AAAAJ",1
"628Jn7UAAAAJ","tI8OPH0AAAAJ",1
"eEYPTKUAAAAJ","ZcDNvvEAAAAJ",1
"EFEC_toAAAAJ","5oU0wxcAAAAJ",1
"EFEC_toAAAAJ","MnfzuPYAAAAJ",1
"EfuT9RoAAAAJ","blFs68UAAAAJ",1
"EGnp1r8AAAAJ","hwqQOpUAAAAJ",0
"eiqD0hoAAAAJ","PH4mytYAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
