"Faculty","XDIndicator","NumOfPolinator"
"2b1nMvgAAAAJ",1,3
"2b1nMvgAAAAJ",1,3
"2Bbi09MAAAAJ",0,1
"2Bbi09MAAAAJ",0,1
"2Bc3UN4AAAAJ",1,1
"2Bc3UN4AAAAJ",1,3
"LQ87h3sAAAAJ",1,3
"2eM6GocAAAAJ",1,1
"2ewb-10AAAAJ",1,2
"2ewb-10AAAAJ",2,1
"2ewb-10AAAAJ",1,6
"2ewb-10AAAAJ",2,2
"ElqwScwAAAAJ",1,5
"ElqwScwAAAAJ",2,1
"2ewb-10AAAAJ",1,5
"2ewb-10AAAAJ",2,1
"BnxU9TEAAAAJ",1,5
"BnxU9TEAAAAJ",2,1
"2ewb-10AAAAJ",1,4
"2ewb-10AAAAJ",2,1
"2ewb-10AAAAJ",1,2
"2ewb-10AAAAJ",1,2
"2ewb-10AAAAJ",2,1
"2ewb-10AAAAJ",1,1
"2ewb-10AAAAJ",2,1
"2ewb-10AAAAJ",1,5
"2ewb-10AAAAJ",2,1
"2ewb-10AAAAJ",1,2
"2FbkAzYAAAAJ",1,2
"2FbkAzYAAAAJ",1,3
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",1,2
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",2,3
"2FbkAzYAAAAJ",1,3
"qnwjcfAAAAAJ",1,3
"2FbkAzYAAAAJ",1,1
"qnwjcfAAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",2,2
"2FbkAzYAAAAJ",1,4
"2FbkAzYAAAAJ",1,4
"2FbkAzYAAAAJ",2,3
"qnwjcfAAAAAJ",1,4
"qnwjcfAAAAAJ",2,3
"jM1cT4QAAAAJ",1,4
"jM1cT4QAAAAJ",2,3
"2FbkAzYAAAAJ",1,1
"qnwjcfAAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"qnwjcfAAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"qnwjcfAAAAAJ",1,1
"2FbkAzYAAAAJ",2,1
"2FbkAzYAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"qnwjcfAAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"qnwjcfAAAAAJ",1,1
"2FbkAzYAAAAJ",1,1
"2ftJYXMAAAAJ",1,3
"2ftJYXMAAAAJ",1,3
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,5
"2ftJYXMAAAAJ",1,1
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",2,1
"2ftJYXMAAAAJ",1,1
"2ftJYXMAAAAJ",1,1
