"google_id","XDIndicator"
"7NhhkR8AAAAJ","XD"
"7oJoP0IAAAAJ","CS"
"7OvZhQIAAAAJ","CS"
"7P3t1woAAAAJ","XD"
"7p61OCsAAAAJ","XD"
"7PeekG0AAAAJ","XD"
"7QF1eF4AAAAJ","CS"
"7QmEsOwAAAAJ","CS"
"7QTGa98AAAAJ","CS"
"7Sa6XgEAAAAJ","BIO"
"7SdcAiEAAAAJ","CS"
"7t7dPnwAAAAJ","BIO"
"7VeXVsYAAAAJ","BIO"
"7vK1GRIAAAAJ","CS"
"7X0YfAcAAAAJ","XD"
"7xgWQEgAAAAJ","BIO"
"7XjL07wAAAAJ","CS"
"7yeTclAAAAAJ","BIO"
"7zf7xGkAAAAJ","CS"
"8-GYxFAAAAAJ","XD"
"80ILneUAAAAJ","XD"
"81cvn3sAAAAJ","CS"
"83SAwBsAAAAJ","CS"
"84WzBlYAAAAJ","XD"
"85KkItgAAAAJ","BIO"
"85qG4oIAAAAJ","BIO"
"861FJYUAAAAJ","BIO"
"89vejUwAAAAJ","CS"
"8ablIzIAAAAJ","XD"
"8acGhSYAAAAJ","CS"
"8AkiZd8AAAAJ","BIO"
"8ArX12gAAAAJ","XD"
"8BlBaP0AAAAJ","BIO"
"8CRLlesAAAAJ","BIO"
"8cxDHS4AAAAJ","CS"
"8DufNdkAAAAJ","BIO"
"8enm19QAAAAJ","BIO"
"8ExiKC0AAAAJ","CS"
"8f8IZigAAAAJ","BIO"
"8Fa66PQAAAAJ","BIO"
"8fHNKl4AAAAJ","CS"
"8fPm1GcAAAAJ","BIO"
"8fudeRAAAAAJ","CS"
"8fztli4AAAAJ","XD"
"8GA4R2wAAAAJ","CS"
"8gIklOMAAAAJ","CS"
"8I3rAqsAAAAJ","XD"
"8iofTEAAAAAJ","BIO"
"8iQk0DIAAAAJ","CS"
"8ISuY00AAAAJ","BIO"
"8kA3eDwAAAAJ","CS"
"8lkdGgsAAAAJ","CS"
"8Lp0W54AAAAJ","CS"
"8mHLyRoAAAAJ","CS"
"8mi-oYYAAAAJ","CS"
"8Mv9l1oAAAAJ","XD"
"8N6uFIkAAAAJ","CS"
"8nk9k5oAAAAJ","CS"
"8odG5jkAAAAJ","CS"
"8OOBH04AAAAJ","XD"
"8OYE6iEAAAAJ","XD"
"8QGbwSIAAAAJ","XD"
"8Qu_gAMAAAAJ","CS"
"8R35rCwAAAAJ","CS"
"8rhw83wAAAAJ","XD"
"8rjreLIAAAAJ","CS"
"8ro0mcwAAAAJ","XD"
"8rttV7kAAAAJ","XD"
"8SIqR9kAAAAJ","BIO"
"8syZZBAAAAAJ","XD"
"8sz_AGoAAAAJ","CS"
"8u-R4tAAAAAJ","XD"
"8UvpDEsAAAAJ","XD"
"8v1PvG1CERwC","BIO"
"8v3hRYcAAAAJ","BIO"
"8vJp_zIAAAAJ","BIO"
"8VkvOEEAAAAJ","CS"
"8vsRBCgAAAAJ","BIO"
"8vXZpPwAAAAJ","BIO"
"8ys-38kAAAAJ","XD"
"8ZpV-lkAAAAJ","CS"
"8ZwKgNUAAAAJ","BIO"
"9-rUhp0AAAAJ","BIO"
"90qiDCwAAAAJ","XD"
"910z20QAAAAJ","XD"
"9177npMAAAAJ","XD"
"92mdADUAAAAJ","CS"
"93yNuV0AAAAJ","XD"
"953LGdYAAAAJ","CS"
"95xNBicAAAAJ","XD"
"95Z6-isAAAAJ","XD"
"97Xv4U4AAAAJ","BIO"
"98iA_ooAAAAJ","XD"
"98W28JoAAAAJ","CS"
"99TuW7wAAAAJ","CS"
"9AAcxvIAAAAJ","XD"
"9bAg9PwAAAAJ","BIO"
"9CC9gHoAAAAJ","BIO"
"9DCRnPkAAAAJ","XD"
"9eDoldEAAAAJ","CS"
"9Ee76gwAAAAJ","BIO"
"9EJnQ4IAAAAJ","XD"
"9EkM1A8AAAAJ","BIO"
"9fg4Cf4AAAAJ","BIO"
"9fGoifYAAAAJ","XD"
"9gBvN78AAAAJ","CS"
"9H5I3iIAAAAJ","XD"
"9HNdszIAAAAJ","CS"
"9hPnkXsAAAAJ","CS"
"9hvCdiQAAAAJ","CS"
"9INT9oQAAAAJ","XD"
"9j6RBYQAAAAJ","CS"
"9jmmp5sAAAAJ","CS"
"9K0aWCYAAAAJ","BIO"
"9KAjEhUAAAAJ","BIO"
"9kgD3pQAAAAJ","XD"
"9Kk7PNQAAAAJ","CS"
"9lLUAyIAAAAJ","BIO"
"9m3beGEAAAAJ","XD"
"9mIBxkMAAAAJ","CS"
"9MSpWOUAAAAJ","XD"
"9NkngDMAAAAJ","CS"
"9OdHL5wAAAAJ","XD"
"9OItN4cAAAAJ","XD"
"9Oo_rDAAAAAJ","XD"
"9OukeycAAAAJ","CS"
"9oz-dvgAAAAJ","XD"
"9Po78a8AAAAJ","BIO"
"9qA78uUAAAAJ","CS"
"9qSwlokAAAAJ","BIO"
"9RgqL8gAAAAJ","CS"
"9RlvgLEAAAAJ","CS"
"9s9o-JcAAAAJ","CS"
"9SJZTNoAAAAJ","BIO"
"9t0C7nkAAAAJ","BIO"
"9t4BTaAAAAAJ","BIO"
"9UERvVEAAAAJ","CS"
"9UtdkBgAAAAJ","BIO"
"9v8XpowAAAAJ","BIO"
"9VDFIQoAAAAJ","CS"
"9WDXyy4AAAAJ","CS"
"9WfDSNwAAAAJ","CS"
"9XFx3VMAAAAJ","CS"
"9xnCrRgAAAAJ","BIO"
"9Xv52PkAAAAJ","BIO"
"9Y2cn3EAAAAJ","XD"
"9Yd716IAAAAJ","CS"
"9yFBqIgAAAAJ","CS"
"9yLaBrYAAAAJ","BIO"
"9Yuk3WgAAAAJ","XD"
"9Z1pfWMAAAAJ","CS"
"9ZGqm5QAAAAJ","CS"
"9ZM8OlMAAAAJ","XD"
"A-4JUL4AAAAJ","XD"
"a-qMWpwAAAAJ","XD"
"A0FvCDMAAAAJ","BIO"
"A0hv6xwAAAAJ","CS"
"A0XsdIMAAAAJ","XD"
"a1ngrCIAAAAJ","XD"
"A1NhsZgAAAAJ","BIO"
"a1VRT-wAAAAJ","CS"
"A2fiOI0AAAAJ","XD"
"A2t0N8AAAAAJ","XD"
"A2yKsOQAAAAJ","BIO"
"A45mhtsAAAAJ","CS"
"a4jsUp4AAAAJ","XD"
"A4ZY-yQAAAAJ","BIO"
"a59MTe0AAAAJ","XD"
"a5eHXXsAAAAJ","BIO"
"A5RCBfEAAAAJ","BIO"
"A5XWspQAAAAJ","BIO"
"a6u7NTgAAAAJ","CS"
"A7fZNg0AAAAJ","CS"
"A7Kis4kAAAAJ","XD"
"a7LHl00AAAAJ","XD"
"a7np7i8AAAAJ","BIO"
"a7VNhCIAAAAJ","CS"
"a8jIPIkAAAAJ","CS"
"a8yWoi0AAAAJ","XD"
"a8ZyGisAAAAJ","CS"
"a959F6AAAAAJ","CS"
"A9tBw58AAAAJ","CS"
