"Faculty","XDIndicator","NumOfPolinator"
"8syZZBAAAAAJ",2,2
"0cq9zpQAAAAJ",0,3
"0cq9zpQAAAAJ",2,3
"0cq9zpQAAAAJ",0,12
"0cq9zpQAAAAJ",2,1
"0cq9zpQAAAAJ",0,2
"0cq9zpQAAAAJ",0,5
"0cq9zpQAAAAJ",2,1
"0cq9zpQAAAAJ",0,3
"0cq9zpQAAAAJ",2,3
"0cq9zpQAAAAJ",0,1
"0cq9zpQAAAAJ",0,5
"0cq9zpQAAAAJ",2,1
"0cq9zpQAAAAJ",0,9
"0cq9zpQAAAAJ",2,1
"0cy3s0AAAAAJ",0,1
"0cy3s0AAAAAJ",0,1
"0cy3s0AAAAAJ",0,5
"0cy3s0AAAAAJ",2,2
"0cy3s0AAAAAJ",0,1
"0cy3s0AAAAAJ",0,14
"a7LHl00AAAAJ",0,3
"a7LHl00AAAAJ",2,3
"0cy3s0AAAAAJ",0,3
"0cy3s0AAAAAJ",2,3
"0cy3s0AAAAAJ",0,4
"0cy3s0AAAAAJ",0,1
"0cy3s0AAAAAJ",0,2
"0d3SpjQAAAAJ",0,2
"0dIBL4AAAAAJ",2,15
"Yw2PquQAAAAJ",2,15
"0dIBL4AAAAAJ",0,3
"0dIBL4AAAAAJ",2,2
"0dIBL4AAAAAJ",0,10
"0dIBL4AAAAAJ",2,6
"0dIBL4AAAAAJ",0,20
"0dIBL4AAAAAJ",2,1
"0dIBL4AAAAAJ",0,14
"0dIBL4AAAAAJ",2,2
"0DpK1EMAAAAJ",1,3
"0DpK1EMAAAAJ",1,9
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,5
"juRk4lQAAAAJ",1,5
"0DpK1EMAAAAJ",1,1
"8ZpV-lkAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"YOVZiJkAAAAJ",1,2
"YOVZiJkAAAAJ",2,3
"0DpK1EMAAAAJ",1,2
"0DpK1EMAAAAJ",2,3
"0DpK1EMAAAAJ",1,5
"juRk4lQAAAAJ",1,5
"8ZpV-lkAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"juRk4lQAAAAJ",1,1
"0DpK1EMAAAAJ",1,1
"YOVZiJkAAAAJ",1,3
"YOVZiJkAAAAJ",2,2
"0DpK1EMAAAAJ",1,3
"0DpK1EMAAAAJ",2,2
"YOVZiJkAAAAJ",1,3
"YOVZiJkAAAAJ",2,3
"0DpK1EMAAAAJ",1,3
"0DpK1EMAAAAJ",2,3
"0ESwQagAAAAJ",0,2
"0ESwQagAAAAJ",0,2
"0ESwQagAAAAJ",0,2
"0ESwQagAAAAJ",0,4
"0fq5QeIAAAAJ",1,4
"0fq5QeIAAAAJ",2,4
"NzQu5SwAAAAJ",1,4
"NzQu5SwAAAAJ",2,4
"0fq5QeIAAAAJ",1,4
"0fq5QeIAAAAJ",2,3
"0fq5QeIAAAAJ",1,10
"0fq5QeIAAAAJ",2,5
"0fq5QeIAAAAJ",1,3
"0fq5QeIAAAAJ",2,2
"0fq5QeIAAAAJ",1,2
"0fq5QeIAAAAJ",2,1
